Judul,Hoax Probability,Actual
foto aliansi kerja panjang sudirmankuningan,99.7,HOAX
yang tau di lengan kanan bagi atas seragam tentara turki bernomer 571,99.8,HOAX
umat islam new zealand bakar gereja,99.6,HOAX
menpora dukung batal kirim atlet china masters,86.3,BUKAN HOAX
uang pecah rp 200 ribu resmi luncur,99.1,HOAX
info bin densus 88 hindar pergi mallmall jakarta,99.2,HOAX
art warga depok pasien corona isolasi rsud,0.0,BUKAN HOAX
video lockdown sikafir china terus masuk indonesia,100.0,HOAX
nyata menu pes belum,100.0,HOAX
kri kerambit tangkap kapal bendera malaysia curi ikan,79.2,BUKAN HOAX
bangun mall agung podomoro tuduh dalang bakar pasar aur kuning bukit tinggi,99.9,HOAX
pegawai batan ancam bui simpan radioaktif ilegal,0.9,BUKAN HOAX
pukul sopir taksi online sopir taksi bandara,100.0,HOAX
video surat suara coblos 01 medan,99.9,HOAX
viral video kawan monyet arab saudi tanda bencana alam besar,100.0,HOAX
foto suspect corona di rs saleh probolinggo moga beri lindung,100.0,HOAX
tni mutasi 329 perwira danpuspomad rektor unhan ganti,99.9,BUKAN HOAX
masvidal usai kalah ufc 251 buat banyak salah,0.0,BUKAN HOAX
plaza indonesia tutup 10 hari virus corona,99.6,BUKAN HOAX
viking persib club tegas libat aksi demo reformasi korupsi,82.4,HOAX
450 ribu ktp kirim kamboja penting kampanye,1.6,HOAX
video gus dur baptis,79.1,HOAX
polisi tunggu rekomendasi bnn rehabilitasi dwi sasono,0.7,BUKAN HOAX
sedia umat islam laku doa warga jayapura,11.7,BUKAN HOAX
jumlah polisi india tiba indonesia,0.1,HOAX
tim kampanye jokowimaruf lapor akun facebook polisi,16.9,BUKAN HOAX
klarifikasi polri kait isu jenderal tito mek arab saudi,0.0,BUKAN HOAX
polisi bungkam soal temu baru radioaktif tangsel,0.0,BUKAN HOAX
ayooo musium gajah pamer budaya arab,99.7,HOAX
polres banjarbaru bantah laku periksa aman dagang pentol bahan daging kucing,0.0,BUKAN HOAX
cara cek kartu sim sukses registrasi,0.4,BUKAN HOAX
tentara asing kfc cere mall,99.6,HOAX
foto robek bakar kencing alquran wanita langsung dapat azab allah,100.0,HOAX
tak terima adu soal tarawih remaja rusak rumah warga,0.0,BUKAN HOAX
jne bagibagi telepon genggam samsung s7,99.8,HOAX
foto megawati potong tumpeng atas meja logo pki,100.0,HOAX
niaid uji vaksin hiv gagal,0.1,BUKAN HOAX
update corona 9 mei sumbar naik 16 kasus jambi tambah 15,0.0,BUKAN HOAX
film kapten amerika capten steve bangun masa modern kamu lihat virus corona,92.2,HOAX
polisi jadi buru milik akun negringeri88 nyata pimpin mca jasmev,100.0,HOAX
tentara merah rrc kamuflase jadi banser,100.0,HOAX
tribun news tulis densus 88 aman barang bukti al quran geledah rumah driver ojol duga teroris medan,66.0,BUKAN HOAX
perintah jokowi hati2 lanjut proyek kereta cepat pasca putus adil tiongkok,74.5,HOAX
anggota banser kudus jawa tengah keroyok sama emakemak jual nasi uduk,100.0,HOAX
gubernur lampung minta jabat tunda pergi keluar daerah,6.8,BUKAN HOAX
serang buah universitas afghanistan 25 tewas,0.3,BUKAN HOAX
cek fakta pidato bangsa prabowo subianto,0.5,BUKAN HOAX
video rekam helikopter kobebryant jatuh udara sebab mati,100.0,HOAX
aniaya ustadzah bekas,99.8,HOAX
virus corona sebar 12 mahasiswa aceh isolir wuhan,99.9,BUKAN HOAX
maklumat masyayikh ponpes lirboyo dukung prabowo sandi,100.0,HOAX
foto formasi 2019gantipresiden jasmerahmob umm,100.0,HOAX
jonatan bantu tonton empat final indonesia masters,1.0,BUKAN HOAX
klarifikasi kait kabar tugas kpps way kanan lampung tewas tikam lerai ribut timses caleg,0.0,BUKAN HOAX
kutip kim bok dong bunuh aktif china,99.9,HOAX
klarifikasi grab indonesia kait dukung forum komunikasi grab lampung salah satu pasang calon pilgub lampung,0.2,BUKAN HOAX
ketawain aja hoaknya kaum bumi datar,94.4,BUKAN HOAX
cuci bersih kurma kandung virus corona asal kelelawar,88.4,HOAX
risma walikota surabaya marah besar kpu bawaslu,7.0,HOAX
foto post prabowo sandi nanti dunia,100.0,HOAX
dinkes aceh ban atas isu ajar lumpuh vaksin mr,98.3,BUKAN HOAX
jelas kpk kait edar informasi rekrutmen palsu,0.0,HOAX
box office korea pekan samjin company english class,72.7,BUKAN HOAX
nama jokowi masuk daftar klien konsultan asing stanley greenberg,99.9,HOAX
broadcast whatsapp info test seleksi gttptt,100.0,HOAX
biadab jahanam muslim india tembak tempat belamuslimindia,98.4,HOAX
lelah jeon somin absen satu bulan running man,71.3,BUKAN HOAX
tito minta kepala daerah atur sanksi warga tak masker,0.0,BUKAN HOAX
klarifikasi komisi hukum mui kait isu lapor gp ansor banser polisi kait kasus bakar bendera,0.0,BUKAN HOAX
nasi kotak plus 2 ayam rendang,95.4,HOAX
bem unindra bantah terima dana ikut aksi unjuk rasa depan gedung dpr,2.3,HOAX
kartu askes laku per 1 oktober 2017,100.0,HOAX
dpr curiga 5 buruh china tangkap tni au masuk wilayah halim benar intelijen,100.0,BUKAN HOAX
stroke kambuh prabowo batal orasi politik acara fraksi pks,99.5,HOAX
tebak waktu butuh wanita orgasme,6.1,BUKAN HOAX
ppp tolak usul ambang batas parlemen jadi 5 persen,0.0,BUKAN HOAX
culi bayi bangil culik kabur pakai mobil elf warna hitam,99.4,HOAX
anak muda australia rentan bunuh diri efek pandemi,91.9,BUKAN HOAX
deddy corbuzier ikan mobil shinta nuriyah,97.9,HOAX
pemkot bandung kucur rp2982 m tangan corona,0.0,BUKAN HOAX
3 jam 9 gempa magnitudo 3 jadi banten,2.5,BUKAN HOAX
kades keroyok usai ingat warga salat id rumah,0.0,BUKAN HOAX
wanita sedang haid sekalikali jangan laku 4,100.0,HOAX
suara adzan masih kumandang masjid sudah tutup inggris,99.6,HOAX
yenny wahid pbnu gagal paham bijak perintah lima hari sekolah,94.6,BUKAN HOAX
foto post prabowo sandi nanti dunia,100.0,HOAX
foto jalan klaim di sumatera,100.0,HOAX
bocah kena ganggu jiwa terlalu banyak ikut les,99.8,HOAX
mu tinggal jauh banding liverpool man city,0.0,BUKAN HOAX
pks curiga motif perintah bahas ruu cipta kerja reses,2.9,BUKAN HOAX
hasil liga inggris leicester kalah tottenham 20,0.0,BUKAN HOAX
seru balik layar potret presiden jokowi klender,100.0,HOAX
henti tunjang kerja anggota tni,100.0,HOAX
jokowi positif corona,0.0,HOAX
corona pemkot yogyakarta pangkas retribusi dagang pasar,0.0,BUKAN HOAX
mayoritas daerah tinggal tumpuk indonesia timur,97.0,BUKAN HOAX
positif corona souza sempat libat kontak jelang ufc 249,0.0,BUKAN HOAX
latih bela negara tni fpi,99.8,HOAX
dai arifin ilham unggah postingan foto ribu umat muslim rohingya bakar hiduphidup,99.8,HOAX
sepi berita tiga biksu asal china tangkap edar uang palsu,100.0,BUKAN HOAX
